person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
32,200000,RENT,14.0,VENTURE,B,25000,10.62,0,0.13,N,9
39,24000,RENT,0.0,DEBTCONSOLIDATION,A,4800,7.49,0,0.2,N,16
23,30873,MORTGAGE,8.0,EDUCATION,B,4200,10.99,0,0.14,N,4
35,250000,OWN,8.0,VENTURE,B,15000,9.88,0,0.06,N,5
31,170000,MORTGAGE,15.0,PERSONAL,C,10000,13.49,0,0.06,Y,8
25,80000,MORTGAGE,0.0,MEDICAL,A,10000,5.79,0,0.13,N,4
35,113000,RENT,0.0,DEBTCONSOLIDATION,E,20000,,1,0.18,N,7
44,58000,RENT,2.0,HOMEIMPROVEMENT,C,15000,13.48,0,0.26,Y,15
22,65000,MORTGAGE,2.0,PERSONAL,C,13000,14.35,0,0.2,Y,4
27,84780,MORTGAGE,5.0,VENTURE,A,18000,7.51,0,0.21,N,10
24,37000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,10000,,1,0.27,N,2
23,83000,RENT,3.0,MEDICAL,A,10000,6.54,0,0.12,N,3
28,56000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,15000,7.49,0,0.27,N,9
26,48000,MORTGAGE,7.0,HOMEIMPROVEMENT,C,16750,14.26,0,0.35,Y,3
33,52000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,1800,7.51,0,0.03,N,5
24,87000,RENT,0.0,VENTURE,B,12000,8.88,0,0.14,N,3
23,30000,RENT,3.0,VENTURE,B,5600,,0,0.19,N,4
22,145000,MORTGAGE,6.0,PERSONAL,A,12000,6.92,0,0.08,N,4
33,60000,MORTGAGE,0.0,EDUCATION,A,4000,6.54,0,0.07,N,9
24,54870,OWN,3.0,VENTURE,A,1000,8.59,0,0.02,N,2
27,75000,RENT,1.0,EDUCATION,B,14400,11.36,0,0.19,N,7
25,24000,RENT,0.0,PERSONAL,B,2000,10.38,0,0.08,N,4
42,35000,RENT,1.0,MEDICAL,B,7500,9.99,0,0.21,N,15
23,85000,RENT,5.0,PERSONAL,A,13600,6.03,0,0.16,N,3
32,37000,RENT,0.0,VENTURE,B,5000,11.49,0,0.14,N,7
22,60500,RENT,3.0,DEBTCONSOLIDATION,C,7000,12.84,0,0.12,N,2
25,53000,RENT,6.0,MEDICAL,C,3000,13.99,0,0.06,Y,2
36,32000,OWN,4.0,EDUCATION,C,3600,13.49,0,0.11,Y,11
29,70000,RENT,3.0,PERSONAL,A,12300,8.49,0,0.18,N,8
23,56000,RENT,7.0,EDUCATION,C,9000,13.35,0,0.16,N,3
28,55640,MORTGAGE,9.0,PERSONAL,C,5000,,0,0.09,N,6
28,85000,MORTGAGE,1.0,MEDICAL,A,5000,6.92,0,0.06,N,8
24,49500,RENT,9.0,EDUCATION,D,6000,16.07,0,0.12,Y,4
28,64000,OTHER,11.0,PERSONAL,A,15000,9.63,1,0.23,N,10
23,25960,RENT,1.0,VENTURE,B,12250,10.37,1,0.47,N,4
23,57000,OWN,7.0,EDUCATION,B,4200,10.51,0,0.07,N,3
31,22000,RENT,5.0,VENTURE,F,1400,22.06,0,0.06,Y,7
29,44000,RENT,4.0,DEBTCONSOLIDATION,C,12000,15.96,1,0.27,Y,7
24,50000,MORTGAGE,2.0,VENTURE,A,12500,9.32,0,0.25,N,2
22,40000,RENT,2.0,VENTURE,A,11200,7.88,0,0.28,N,2
37,108000,RENT,0.0,HOMEIMPROVEMENT,E,20000,16.32,1,0.19,N,15
37,30000,RENT,6.0,MEDICAL,B,6500,10.37,0,0.22,N,11
24,62000,MORTGAGE,8.0,EDUCATION,B,7750,10.0,0,0.13,N,2
33,189000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,20000,6.17,0,0.11,N,7
29,45000,RENT,0.0,MEDICAL,C,12000,12.99,0,0.27,N,8
24,32400,RENT,1.0,MEDICAL,C,7000,13.98,0,0.22,Y,2
29,70008,MORTGAGE,8.0,MEDICAL,A,5000,5.99,0,0.07,N,5
25,52000,RENT,5.0,MEDICAL,B,19000,,1,0.37,N,4
31,70000,MORTGAGE,11.0,EDUCATION,A,2000,7.4,0,0.03,N,7
34,78000,RENT,5.0,EDUCATION,A,18000,8.9,0,0.23,N,9
22,31356,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11225,,1,0.36,Y,2
24,30000,RENT,2.0,PERSONAL,A,3000,7.49,0,0.1,N,3
29,40000,MORTGAGE,9.0,PERSONAL,A,5000,6.99,0,0.13,N,7
29,66000,RENT,4.0,EDUCATION,B,25000,11.48,1,0.38,N,10
42,114996,MORTGAGE,2.0,VENTURE,A,2850,,0,0.02,N,12
33,62500,RENT,3.0,DEBTCONSOLIDATION,B,18400,9.91,0,0.29,N,7
23,63000,RENT,3.0,VENTURE,D,5400,14.54,0,0.09,N,2
28,25000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,6000,14.72,0,0.24,N,10
27,36400,RENT,5.0,EDUCATION,A,9000,7.49,0,0.25,N,6
28,45000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,5.99,0,0.22,N,10
26,145000,RENT,3.0,EDUCATION,C,18500,12.87,0,0.13,Y,3
27,30000,RENT,1.0,MEDICAL,B,16000,10.0,1,0.53,N,5
31,168000,MORTGAGE,2.0,VENTURE,B,15500,9.25,0,0.09,N,7
23,75000,RENT,3.0,PERSONAL,E,23575,14.5,1,0.31,N,4
24,58000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,3000,5.42,0,0.05,N,4
22,45600,RENT,6.0,EDUCATION,C,7500,,0,0.16,N,4
22,102240,RENT,6.0,PERSONAL,E,5000,19.03,0,0.05,N,3
22,45004,RENT,1.0,PERSONAL,C,9000,14.35,0,0.2,Y,4
28,79536,MORTGAGE,12.0,PERSONAL,A,16425,7.9,0,0.21,N,10
24,56000,MORTGAGE,3.0,VENTURE,B,2000,10.99,0,0.04,N,4
28,60000,MORTGAGE,2.0,EDUCATION,A,6000,5.99,0,0.1,N,8
22,56004,OWN,5.0,EDUCATION,C,12000,13.98,0,0.21,N,3
24,38000,RENT,8.0,PERSONAL,C,6500,11.34,0,0.17,Y,3
21,26000,RENT,5.0,DEBTCONSOLIDATION,A,6000,7.49,0,0.23,N,2
27,58000,MORTGAGE,7.0,VENTURE,B,2800,11.99,0,0.05,N,8
27,36000,RENT,5.0,EDUCATION,B,5000,9.63,0,0.14,N,8
30,44000,RENT,0.0,MEDICAL,A,2000,7.29,0,0.05,N,8
31,86500,OWN,0.0,VENTURE,C,25000,13.57,0,0.29,N,9
29,89520,OWN,13.0,EDUCATION,C,8000,13.23,0,0.09,Y,5
39,54000,MORTGAGE,23.0,HOMEIMPROVEMENT,B,9000,11.71,0,0.17,N,12
25,45996,MORTGAGE,9.0,HOMEIMPROVEMENT,C,11000,12.68,1,0.24,N,2
30,46000,MORTGAGE,1.0,EDUCATION,C,12000,,0,0.26,Y,9
32,52000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,20000,,0,0.38,N,9
24,28800,MORTGAGE,8.0,HOMEIMPROVEMENT,A,1400,8.9,1,0.05,N,3
29,34000,RENT,2.0,DEBTCONSOLIDATION,B,6400,6.0,0,0.19,N,8
30,85634,MORTGAGE,4.0,PERSONAL,A,14000,7.66,0,0.16,N,8
24,25000,RENT,0.0,MEDICAL,D,6950,14.42,1,0.28,Y,3
24,40000,RENT,1.0,MEDICAL,A,7800,,0,0.2,N,2
22,51000,MORTGAGE,3.0,VENTURE,C,13000,13.48,0,0.25,Y,3
23,63800,RENT,7.0,EDUCATION,B,5000,9.99,0,0.08,N,4
25,95000,MORTGAGE,4.0,EDUCATION,A,6500,7.14,0,0.07,N,3
34,50000,RENT,8.0,EDUCATION,B,4800,,0,0.1,N,10
30,70000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,15000,12.73,0,0.21,Y,6
25,75600,MORTGAGE,2.0,PERSONAL,A,14500,9.63,0,0.19,N,4
23,50000,OWN,5.0,VENTURE,A,7000,8.9,0,0.14,N,4
26,36000,RENT,,VENTURE,A,5400,8.9,0,0.15,N,2
25,84000,RENT,5.0,HOMEIMPROVEMENT,B,18000,9.88,0,0.21,N,3
29,90000,RENT,4.0,VENTURE,B,12000,10.74,0,0.13,N,10
25,79000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,20000,6.91,0,0.25,N,3
26,63000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,10000,9.25,0,0.16,N,3
26,36000,RENT,,MEDICAL,A,5400,8.9,0,0.15,N,4
24,94102,MORTGAGE,8.0,MEDICAL,C,8475,12.99,1,0.08,N,4
28,39184,RENT,3.0,DEBTCONSOLIDATION,A,6000,6.17,0,0.15,N,7
27,42072,RENT,3.0,VENTURE,B,5000,11.49,0,0.12,N,10
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2
32,249996,MORTGAGE,4.0,PERSONAL,C,14000,12.99,0,0.06,N,8
25,77000,MORTGAGE,1.0,DEBTCONSOLIDATION,F,7200,18.53,1,0.09,N,2
30,80256,OWN,11.0,VENTURE,A,24000,7.49,0,0.3,N,7
24,133000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,3000,11.99,0,0.02,N,4
25,36000,RENT,0.0,MEDICAL,B,12000,9.91,1,0.33,N,3
28,51850,RENT,12.0,MEDICAL,F,15000,,1,0.25,N,9
24,55000,RENT,1.0,MEDICAL,A,7000,7.88,0,0.13,N,4
21,41000,RENT,2.0,DEBTCONSOLIDATION,C,4500,13.49,1,0.11,N,3
24,60204,MORTGAGE,8.0,PERSONAL,A,10000,7.49,0,0.17,N,4
24,38000,OWN,2.0,HOMEIMPROVEMENT,C,5000,12.53,0,0.13,N,3
29,40000,RENT,0.0,VENTURE,C,9250,14.65,0,0.23,N,7
26,99100,RENT,2.0,PERSONAL,A,7000,7.49,0,0.07,N,3
24,39000,RENT,1.0,DEBTCONSOLIDATION,E,5000,16.77,1,0.13,Y,3
22,32000,RENT,1.0,EDUCATION,D,5400,16.29,1,0.17,Y,2
24,120000,MORTGAGE,1.0,MEDICAL,A,3000,6.39,0,0.03,N,3
27,110004,MORTGAGE,5.0,PERSONAL,C,25000,12.73,0,0.23,Y,6
26,73200,MORTGAGE,10.0,VENTURE,C,17500,,0,0.24,N,3
25,62000,MORTGAGE,9.0,VENTURE,B,8500,10.99,0,0.14,N,2
21,75000,MORTGAGE,5.0,VENTURE,B,14125,10.99,0,0.19,N,2
29,17004,RENT,8.0,HOMEIMPROVEMENT,A,2200,9.32,1,0.13,N,5
29,56033,MORTGAGE,7.0,VENTURE,C,16000,14.65,0,0.29,N,6
21,45996,MORTGAGE,2.0,EDUCATION,C,17000,13.16,1,0.37,Y,4
22,88000,MORTGAGE,0.0,VENTURE,B,15000,11.83,0,0.17,N,4
24,75000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,25000,11.83,0,0.33,N,2
29,40000,MORTGAGE,13.0,PERSONAL,B,25000,11.86,0,0.63,N,7
31,42096,RENT,15.0,PERSONAL,B,12500,11.11,0,0.3,N,5
23,75000,MORTGAGE,6.0,EDUCATION,A,5000,6.03,0,0.07,N,4
31,37000,RENT,3.0,PERSONAL,A,13000,6.92,1,0.35,N,6
25,41508,MORTGAGE,9.0,EDUCATION,C,1600,13.11,0,0.04,Y,3
26,60000,MORTGAGE,10.0,PERSONAL,D,8000,16.77,0,0.13,N,2
22,14400,RENT,0.0,VENTURE,D,4000,14.61,1,0.28,N,2
25,19240,RENT,0.0,HOMEIMPROVEMENT,B,8875,10.65,1,0.46,N,4
24,80000,RENT,2.0,MEDICAL,B,24000,10.25,0,0.3,N,2
21,56400,RENT,5.0,PERSONAL,E,14400,18.79,0,0.26,N,3
39,85000,MORTGAGE,1.0,PERSONAL,A,12000,9.32,0,0.14,N,13
39,86000,RENT,19.0,HOMEIMPROVEMENT,D,6000,14.84,0,0.07,Y,13
26,40000,RENT,4.0,EDUCATION,B,6000,,0,0.15,N,2
22,40000,MORTGAGE,6.0,MEDICAL,A,7500,7.51,0,0.19,N,3
26,39000,RENT,2.0,EDUCATION,C,2000,12.98,0,0.05,N,4
27,120000,OWN,11.0,MEDICAL,B,4800,10.99,0,0.04,N,10
28,131004,MORTGAGE,5.0,EDUCATION,A,25000,7.9,0,0.19,N,5
23,65000,MORTGAGE,7.0,PERSONAL,A,5000,7.43,0,0.08,N,4
22,42000,RENT,3.0,EDUCATION,B,8500,12.53,0,0.2,N,4
41,31000,RENT,0.0,HOMEIMPROVEMENT,D,9250,16.49,1,0.3,N,13
22,33600,RENT,3.0,EDUCATION,B,10000,10.25,0,0.3,N,3
37,125000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,8000,9.32,0,0.06,N,15
24,72000,MORTGAGE,1.0,EDUCATION,B,16000,10.25,0,0.22,N,3
22,100000,MORTGAGE,6.0,EDUCATION,B,9000,,0,0.09,N,2
24,100000,RENT,6.0,VENTURE,A,11000,5.42,0,0.11,N,2
24,39996,RENT,1.0,MEDICAL,C,7000,13.11,0,0.18,N,3
22,33300,MORTGAGE,5.0,DEBTCONSOLIDATION,D,5325,14.59,1,0.16,N,4
45,36700,OWN,7.0,PERSONAL,A,2000,7.51,0,0.05,N,16
46,82359,MORTGAGE,6.0,PERSONAL,A,6600,7.66,0,0.08,N,13
23,54000,MORTGAGE,7.0,EDUCATION,B,4800,12.42,0,0.09,N,2
24,125375,RENT,0.0,MEDICAL,C,12000,14.27,1,0.08,N,2
37,192000,MORTGAGE,14.0,DEBTCONSOLIDATION,A,25600,5.99,0,0.13,N,17
26,54000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,3600,12.69,1,0.07,N,4
38,82000,OWN,4.0,HOMEIMPROVEMENT,B,10000,11.99,0,0.12,N,13
28,45000,RENT,1.0,DEBTCONSOLIDATION,B,10000,9.91,0,0.22,N,6
28,54996,RENT,8.0,PERSONAL,D,15000,14.09,0,0.27,Y,9
23,40000,MORTGAGE,4.0,PERSONAL,B,6000,,0,0.15,N,2
24,54000,RENT,8.0,HOMEIMPROVEMENT,B,6800,10.59,0,0.13,N,3
24,120000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,16000,9.63,0,0.13,N,2
25,63300,MORTGAGE,0.0,EDUCATION,C,17600,12.53,0,0.28,Y,4
26,110000,MORTGAGE,4.0,VENTURE,B,5000,9.63,0,0.05,N,2
22,74000,RENT,3.0,DEBTCONSOLIDATION,C,5000,13.49,1,0.07,Y,4
23,125000,OTHER,4.0,VENTURE,A,7500,8.0,0,0.06,N,4
22,40000,OWN,0.0,VENTURE,C,6400,14.22,0,0.16,Y,2
26,62000,RENT,10.0,VENTURE,B,12000,12.69,0,0.19,N,3
45,52569,MORTGAGE,0.0,MEDICAL,F,10400,19.47,1,0.17,N,12
28,37152,RENT,12.0,EDUCATION,D,2300,13.17,0,0.06,N,7
23,60000,RENT,1.0,DEBTCONSOLIDATION,A,9000,7.51,0,0.15,N,3
23,51000,RENT,7.0,PERSONAL,A,17000,8.49,1,0.33,N,4
24,150000,RENT,8.0,PERSONAL,B,5000,,0,0.03,N,2
27,64000,MORTGAGE,12.0,EDUCATION,B,6000,,1,0.09,N,6
21,21600,OWN,,VENTURE,A,7125,6.99,0,0.33,N,3
23,62900,RENT,1.0,MEDICAL,E,16000,16.35,1,0.22,N,4
22,64800,RENT,1.0,EDUCATION,B,16000,10.37,0,0.25,N,4
21,140000,MORTGAGE,2.0,EDUCATION,A,18000,7.9,0,0.13,N,4
25,66000,MORTGAGE,9.0,MEDICAL,B,6600,11.49,0,0.1,N,4
32,72000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,24000,6.92,0,0.33,N,8
24,69000,RENT,0.0,HOMEIMPROVEMENT,E,20000,14.82,1,0.29,N,4
31,96000,OWN,3.0,PERSONAL,B,10000,9.99,0,0.1,N,6
23,88000,RENT,5.0,MEDICAL,B,9000,,0,0.1,N,2
25,70000,RENT,9.0,VENTURE,A,12000,8.9,0,0.17,N,2
28,77385,RENT,3.0,MEDICAL,A,6000,7.66,0,0.08,N,6
24,47480,RENT,8.0,MEDICAL,B,6900,9.88,0,0.15,N,2
23,60000,MORTGAGE,4.0,EDUCATION,A,10000,,0,0.17,N,4
28,49900,RENT,6.0,HOMEIMPROVEMENT,C,7000,14.27,1,0.14,N,9
21,35000,OWN,2.0,VENTURE,D,7000,14.59,0,0.2,N,3
28,48000,OWN,,PERSONAL,D,8000,16.77,0,0.17,Y,9
24,43995,RENT,,EDUCATION,C,7400,13.99,1,0.17,Y,3
40,71599,RENT,0.0,EDUCATION,A,6000,9.63,0,0.08,N,17
23,45992,MORTGAGE,7.0,VENTURE,A,10000,5.42,0,0.22,N,3
24,128000,MORTGAGE,4.0,EDUCATION,A,12000,6.03,0,0.09,N,2
42,30000,RENT,5.0,VENTURE,D,8000,14.96,0,0.27,Y,12
22,32647,RENT,7.0,VENTURE,B,10000,11.48,1,0.31,N,3
36,84000,MORTGAGE,2.0,PERSONAL,B,6000,12.69,0,0.07,N,13
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4
22,60000,MORTGAGE,1.0,EDUCATION,C,7500,11.66,0,0.13,N,2
25,30000,RENT,0.0,MEDICAL,B,2000,12.42,0,0.07,N,2
29,28550,RENT,6.0,EDUCATION,B,4000,10.59,0,0.14,N,8
26,43200,OWN,1.0,EDUCATION,C,17000,13.49,0,0.39,Y,2
23,82000,MORTGAGE,5.0,PERSONAL,D,5000,16.77,0,0.06,Y,3
29,83000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,7500,8.9,0,0.09,N,6
22,38004,MORTGAGE,7.0,DEBTCONSOLIDATION,D,3600,17.27,1,0.09,N,4
23,40800,MORTGAGE,3.0,MEDICAL,A,10000,7.14,0,0.25,N,2
32,28800,RENT,16.0,MEDICAL,B,5000,10.59,0,0.17,N,9
23,31516,RENT,,DEBTCONSOLIDATION,B,5000,9.91,1,0.16,N,4
28,135000,MORTGAGE,0.0,MEDICAL,A,14400,5.42,0,0.11,N,8
23,33359,RENT,2.0,EDUCATION,A,9000,,1,0.27,N,4
22,107000,MORTGAGE,1.0,VENTURE,A,10000,7.14,0,0.09,N,2
22,65004,MORTGAGE,0.0,EDUCATION,C,13000,13.23,0,0.2,N,2
24,20796,RENT,2.0,VENTURE,A,7500,7.88,1,0.36,N,3
36,39520,OWN,14.0,VENTURE,A,5000,5.79,0,0.13,N,16
25,72000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,4800,10.65,0,0.07,N,3
25,34000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,10000,12.42,0,0.29,N,3
21,13000,RENT,0.0,DEBTCONSOLIDATION,C,9250,12.53,1,0.71,N,3
32,62000,MORTGAGE,6.0,PERSONAL,B,6000,11.36,0,0.1,N,6
23,54000,MORTGAGE,7.0,MEDICAL,A,6000,6.03,0,0.11,N,4
23,89204,MORTGAGE,5.0,EDUCATION,A,18000,7.9,0,0.2,N,4
23,78885,OWN,2.0,VENTURE,B,20000,12.42,0,0.25,N,3
28,42900,RENT,3.0,PERSONAL,B,14000,11.14,1,0.33,N,5
23,64000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,8000,10.99,0,0.13,N,2
24,54100,RENT,5.0,PERSONAL,A,4500,7.14,0,0.08,N,4
30,51600,RENT,5.0,DEBTCONSOLIDATION,A,9000,6.54,0,0.17,N,6
26,70000,RENT,7.0,DEBTCONSOLIDATION,C,20000,13.16,1,0.29,N,3
27,47000,MORTGAGE,2.0,MEDICAL,A,6000,6.99,0,0.13,N,5
25,35000,OWN,9.0,VENTURE,C,4000,13.11,0,0.11,N,4
30,24000,RENT,,MEDICAL,C,1000,15.96,0,0.04,Y,7
29,30288,RENT,13.0,PERSONAL,C,13000,14.35,1,0.43,N,8
26,92004,MORTGAGE,3.0,MEDICAL,C,24250,14.72,0,0.26,N,4
25,100000,MORTGAGE,5.0,MEDICAL,B,15000,,0,0.15,N,3
23,53352,RENT,3.0,VENTURE,A,17500,6.54,1,0.33,N,2
26,43860,RENT,6.0,VENTURE,B,5600,9.63,0,0.13,N,2
24,100000,MORTGAGE,5.0,PERSONAL,B,14000,10.75,0,0.14,N,3
30,38220,MORTGAGE,1.0,DEBTCONSOLIDATION,A,9775,,0,0.26,N,10
31,36000,RENT,4.0,MEDICAL,D,10000,14.42,0,0.28,Y,9
21,67000,MORTGAGE,5.0,EDUCATION,D,25000,15.65,0,0.37,Y,2
23,63000,RENT,0.0,DEBTCONSOLIDATION,A,5600,8.49,0,0.09,N,4
27,35000,OTHER,0.0,VENTURE,A,7000,8.0,0,0.2,N,7
28,103992,MORTGAGE,3.0,HOMEIMPROVEMENT,B,18000,10.99,0,0.17,N,10
27,64000,MORTGAGE,11.0,MEDICAL,B,3500,11.99,0,0.05,N,8
43,65000,OWN,4.0,MEDICAL,B,15000,11.71,0,0.23,N,13
27,45000,RENT,1.0,EDUCATION,C,10000,,0,0.22,N,9
23,97000,OWN,7.0,MEDICAL,B,15000,9.63,0,0.15,N,4
26,49000,RENT,2.0,VENTURE,D,8400,18.25,1,0.17,Y,4
34,75000,RENT,4.0,DEBTCONSOLIDATION,B,14000,12.69,0,0.19,N,7
35,100000,MORTGAGE,13.0,EDUCATION,F,12000,15.76,0,0.12,N,6
28,46097,MORTGAGE,12.0,DEBTCONSOLIDATION,B,6000,10.75,0,0.13,N,8
33,75000,MORTGAGE,6.0,VENTURE,A,6000,7.51,0,0.08,N,5
31,115000,MORTGAGE,15.0,MEDICAL,B,10000,12.42,0,0.09,N,6
22,67200,RENT,6.0,DEBTCONSOLIDATION,E,4800,16.7,1,0.07,Y,2
26,60996,RENT,6.0,HOMEIMPROVEMENT,C,3000,12.22,0,0.05,Y,4
23,126996,OWN,2.0,EDUCATION,B,11000,10.0,0,0.09,N,2
35,39996,RENT,4.0,EDUCATION,A,8000,5.99,0,0.2,N,5
23,65000,RENT,3.0,PERSONAL,A,10000,5.79,0,0.15,N,3
42,30000,RENT,5.0,VENTURE,D,8000,14.96,0,0.27,N,15
40,73100,RENT,0.0,MEDICAL,D,20000,14.54,1,0.23,Y,11
29,77040,RENT,1.0,EDUCATION,C,9500,12.84,0,0.12,Y,9
31,55000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,6250,9.99,0,0.11,N,9
38,57600,MORTGAGE,2.0,DEBTCONSOLIDATION,B,9000,10.99,0,0.16,N,12
27,29238,RENT,8.0,HOMEIMPROVEMENT,C,10000,12.99,1,0.34,N,6
23,29120,OWN,0.0,EDUCATION,A,6400,8.94,0,0.22,N,4
33,50800,RENT,16.0,VENTURE,E,10000,16.4,0,0.2,Y,10
24,75000,MORTGAGE,0.0,EDUCATION,B,7000,11.99,0,0.09,N,3
27,62000,RENT,2.0,PERSONAL,B,9600,10.25,1,0.15,N,8
30,105000,RENT,4.0,VENTURE,D,24250,15.65,0,0.23,N,10
27,60000,RENT,11.0,VENTURE,B,25000,,1,0.42,N,8
37,77000,RENT,6.0,MEDICAL,A,10800,7.14,0,0.14,N,17
44,75000,MORTGAGE,6.0,EDUCATION,A,6000,8.9,0,0.08,N,11
22,36600,MORTGAGE,2.0,VENTURE,A,9950,7.29,0,0.27,N,3
23,42000,RENT,0.0,VENTURE,B,4000,10.59,0,0.1,N,2
25,172000,MORTGAGE,9.0,EDUCATION,B,12000,11.86,0,0.07,N,4
22,52320,MORTGAGE,6.0,EDUCATION,D,15000,12.86,0,0.29,N,2
28,75000,RENT,3.0,EDUCATION,B,7500,,0,0.1,N,6
31,74000,MORTGAGE,13.0,VENTURE,C,1500,12.68,1,0.02,N,10
23,10500,RENT,,MEDICAL,B,1000,10.25,1,0.1,N,2
23,50000,RENT,5.0,PERSONAL,B,6000,11.48,0,0.12,N,3
29,21996,OWN,7.0,PERSONAL,A,8300,5.42,0,0.38,N,7
36,53000,RENT,5.0,MEDICAL,B,5000,10.74,0,0.09,N,12
22,42000,MORTGAGE,4.0,PERSONAL,A,7050,,0,0.17,N,4
25,75000,MORTGAGE,1.0,VENTURE,A,6000,9.63,0,0.08,N,4
25,51669,MORTGAGE,2.0,HOMEIMPROVEMENT,B,12000,10.37,0,0.23,N,4
33,42996,RENT,2.0,VENTURE,A,8200,7.88,0,0.19,N,9
21,30000,RENT,2.0,VENTURE,B,7000,10.99,0,0.23,N,3
29,54548,MORTGAGE,8.0,VENTURE,A,6000,7.14,0,0.11,N,9
25,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,Y,3
26,53000,RENT,11.0,EDUCATION,C,4200,14.22,0,0.08,N,4
22,48000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4800,9.07,0,0.1,N,3
27,170000,RENT,11.0,PERSONAL,D,25000,16.32,0,0.15,N,10
28,56052,RENT,8.0,VENTURE,C,7200,11.28,0,0.13,Y,8
28,25000,RENT,0.0,EDUCATION,A,7000,6.92,0,0.28,N,7
21,40000,OWN,1.0,EDUCATION,C,15000,13.16,0,0.38,N,2
24,75000,RENT,9.0,MEDICAL,B,24000,10.37,1,0.32,N,3
23,81504,MORTGAGE,6.0,DEBTCONSOLIDATION,A,2400,6.92,0,0.03,N,4
22,40680,RENT,2.0,HOMEIMPROVEMENT,B,6000,11.36,1,0.15,N,4
21,29000,RENT,0.0,EDUCATION,D,4000,14.83,1,0.14,N,4
23,60000,MORTGAGE,5.0,PERSONAL,D,15000,15.21,0,0.25,Y,3
23,60000,RENT,2.0,VENTURE,A,9000,6.17,0,0.15,N,2
22,82000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,10000,12.87,0,0.12,Y,2
25,60000,RENT,2.0,HOMEIMPROVEMENT,C,10000,12.09,0,0.17,N,2
22,59000,RENT,4.0,MEDICAL,E,16000,16.32,1,0.27,N,3
25,57000,OWN,9.0,MEDICAL,B,12000,10.59,0,0.21,N,3
27,88000,RENT,11.0,DEBTCONSOLIDATION,A,9000,6.91,0,0.1,N,10
25,36000,RENT,2.0,DEBTCONSOLIDATION,B,10000,12.42,0,0.28,N,4
32,54000,RENT,7.0,DEBTCONSOLIDATION,D,1500,14.42,1,0.03,N,9
30,28800,RENT,9.0,MEDICAL,B,2000,11.48,0,0.07,N,10
24,143000,RENT,7.0,VENTURE,E,9000,16.45,1,0.06,Y,4
25,30840,RENT,2.0,VENTURE,D,11200,17.27,1,0.36,N,4
25,90000,MORTGAGE,5.0,VENTURE,C,10000,12.61,0,0.11,Y,3
31,44000,RENT,4.0,DEBTCONSOLIDATION,D,12000,17.27,1,0.27,N,7
35,44000,RENT,3.0,PERSONAL,C,16000,13.99,1,0.36,Y,8
22,9600,RENT,,EDUCATION,B,1200,10.37,0,0.13,N,2
43,48000,MORTGAGE,2.0,VENTURE,A,10400,5.99,0,0.22,N,17
28,45000,RENT,0.0,EDUCATION,A,4000,,0,0.09,N,8
29,100000,RENT,4.0,VENTURE,A,10000,9.63,0,0.1,N,9
24,52000,RENT,8.0,EDUCATION,C,8000,13.99,1,0.15,Y,2
37,45000,RENT,2.0,HOMEIMPROVEMENT,B,20000,12.53,1,0.44,N,14
25,155000,MORTGAGE,3.0,PERSONAL,D,22000,16.0,0,0.14,Y,4
24,65000,RENT,0.0,PERSONAL,A,4800,7.88,0,0.07,N,4
29,31400,RENT,3.0,MEDICAL,B,10400,10.71,1,0.33,N,7
45,60000,RENT,4.0,EDUCATION,B,25000,9.99,1,0.42,N,14
25,60000,MORTGAGE,8.0,EDUCATION,C,8000,,0,0.13,N,3
28,57000,MORTGAGE,2.0,VENTURE,C,6000,12.73,0,0.11,N,10
24,18000,RENT,5.0,EDUCATION,C,3000,15.27,1,0.17,N,2
